page,url,term,snippet,action_required
home,https://ofsgroupindia.com/,ifm,...ement &amp; Shipping Engineering &amp; EPC Support Services IFM (Integrated Facility Management) Business Spare Parts Procu...,OFS Client Review Required (Do not delete automatically)
home,https://ofsgroupindia.com/,ifm,...r Projects Spare Parts Procurement Logistics &amp; Shipping IFM Business Engineering &amp; EPC Support Services Procurement...,OFS Client Review Required (Do not delete automatically)
home,https://ofsgroupindia.com/,ifm,"...stries. We offer end-to-end Integrated Facility Management (IFM) services designed to optimize operations, reduce costs, an...",OFS Client Review Required (Do not delete automatically)
company-profile,https://ofsgroupindia.com/company-profile/,aviation,...; Electronics Pharmaceuticals &amp; Chemicals Biotechnology Aviation Marine General Manufacturing Mining &amp; Minerals Transpor...,OFS Client Review Required (Do not delete automatically)
company-profile,https://ofsgroupindia.com/company-profile/,aviation,...; Electronics Pharmaceuticals &amp; Chemicals Biotechnology Aviation Marine General Manufacturing Mining &amp; Minerals Transpor...,OFS Client Review Required (Do not delete automatically)
mission-vision,https://ofsgroupindia.com/mission-vision/,catering,"...ient systems, and expert manpower — while ensuring top-tier Catering and Hospitality solutions that elevate workforce well-being...",OFS Client Review Required (Do not delete automatically)
mission-vision,https://ofsgroupindia.com/mission-vision/,hospitality,...and expert manpower — while ensuring top-tier Catering and Hospitality solutions that elevate workforce well-being and performance...,OFS Client Review Required (Do not delete automatically)
procurement-shipping,https://ofsgroupindia.com/procurement-shipping/,aviation,"...cing solutions for a diverse range of industries, including aviation maintenance, oil &amp; gas, petroleum refining, and marine...",OFS Client Review Required (Do not delete automatically)
logistics-shipping,https://ofsgroupindia.com/logistics-shipping/,aviation,...Electrical &amp; Electronics Mining Minerals Oil &amp; Gas Aviation Maintenance Services Petroleum Refining Marine Cement Gener...,OFS Client Review Required (Do not delete automatically)
logistics-shipping,https://ofsgroupindia.com/logistics-shipping/,aviation,...Electrical &amp; Electronics Mining Minerals Oil &amp; Gas Aviation Maintenance Services Petroleum Refining Marine Cement Gener...,OFS Client Review Required (Do not delete automatically)
logistics-shipping,https://ofsgroupindia.com/logistics-shipping/,pharmaceutical,...business growth. Power Energy Transportation Biotechnology Pharmaceutical &amp; Chemicals Heavy Engineering Electrical &amp; Electron...,OFS Client Review Required (Do not delete automatically)
logistics-shipping,https://ofsgroupindia.com/logistics-shipping/,pharmaceutical,...85559 WhatsApp us Power Energy Transportation Biotechnology Pharmaceutical &amp; Chemicals Heavy Engineering Electrical &amp; Electron...,OFS Client Review Required (Do not delete automatically)
marine,https://ofsgroupindia.com/marine/,catering,"...a broad spectrum of ship spare parts and marine equipment, catering to the operational demands of commercial vessels, offshore...",OFS Client Review Required (Do not delete automatically)
electrical-power-equipments,https://ofsgroupindia.com/electrical-power-equipments/,chemical,"...ust protection for conductors against impact, moisture, and chemical exposure, while supporting various wire types and simplifyi...",OFS Client Review Required (Do not delete automatically)
pumps-spare-parts,https://ofsgroupindia.com/pumps-spare-parts/,pharmaceutical,"...reversible turbine operation make them ideal for chemical, pharmaceutical, and food processing applications. Hydraulic Pumps OFS hydr...",OFS Client Review Required (Do not delete automatically)
pumps-spare-parts,https://ofsgroupindia.com/pumps-spare-parts/,chemical,"...enance and reversible turbine operation make them ideal for chemical, pharmaceutical, and food processing applications. Hydrauli...",OFS Client Review Required (Do not delete automatically)
